id,lemma,type
2171,பிடி,Adjectives
2172,அகியவை,Noun
2173,11,Numerals
2174,12,Numerals
2175,14,Numerals
2176,இதழ்,Noun
2177,முறை,Adverb
2178,கேள்,Noun
2179,நடத்து,Adjectives
2180,தெரி,Verb
2181,வாசகர்,Noun
2182,ஆரோக்கியம்,Noun
2183,பாதுகாப்பு,Noun
2184,நல்ல,Adjectives
2185,தகுந்த,Adjectives
2186,நாள்,Noun
2187,கருது,Adjectives
2188,பிற,Verb
2189,விரும்பு,Verb
2190,கேள்வி,Noun
2191,பதில்,Noun
2192,தெரிவி,Verb
2193,நேசி,Verb
2194,தலைவர்,Noun
2195,கணிப்பு,Noun
2196,இந்தியா,Noun
2197,பிரதமர்,Noun
2198,முதலிடம்,Noun
2199,குறிப்பிடு,Verb
2200,தகு,Verb
2201,மேலும்,Adverb
2202,10,Numerals
2203,ஆயிரம்,Numerals
2204,ஊதியம்,Noun
2205,உயர்வு,Noun
2206,அறிவி,Verb
2207,முன்னர்,Adverb
2208,அலுவலகம்,Noun
2209,தொகுதி,Noun
2210,செலவினம்,Noun
2211,படி,Noun
2212,தலா,Adjectives
2213,5,Numerals
2214,தலைமை,Noun
2215,நடைபெறு,Adjectives
2216,அமைச்சரவை,Noun
2217,கூட்டம்,Noun
2218,முடிவெடு,Verb
2219,முன்னதாக,Adverb
2220,16,Numerals
2221,80,Numerals
2222,உயர்த்து,Verb
2223,நாடாளுமன்றம்,Noun
2224,கூட்டு,Adjectives
2225,குழு,Noun
2226,பரிந்துரை,Noun
2227,ஏல்,Verb
2228,கடந்த,Adjectives
2229,வாரம்,Noun
2230,50,Numerals
2231,பிரிவினர்,Noun
2232,அதிருப்தி,Noun
2233,நிதி,Noun
2234,அமைச்சர்,Noun
2235,ராஷ்ட்ரீயம்,Noun
2236,ஐக்கிய,Adjectives
2237,ஜனதாதளம்,Noun
2238,சனிக்கிழமை,Noun
2239,சந்தி,Verb
2240,விவகாரம்,Adverb
2241,உரிய,Adjectives
2242,நடவடிக்கை,Noun
2243,அப்போது,Adverb
2244,பல்கலைக்கழகம்,Noun
2245,துணைவேந்தர்,Noun
2246,இன்று,Adverb
2247,எதிர்கட்சி,Noun
2248,பேசு,Verb
2249,சந்திப்பு,Adverb
2250,மனைவி,Noun
2251,உடன்,Adverb
2252,மரியாதை,Noun
2253,நிமித்தம்,Noun
2254,செய்திக்குறிப்பு,Noun
2255,அருள்மிகு,Adjectives
2256,திருக்கோயில்,Noun
2257,ஆவணி,Noun
2258,திருவிழா,Noun
2259,கொடியேற்றம்,Noun
2260,தொடங்கு,Verb
2261,தொடர்,Adverb
2262,தொடக்கு,Noun
2263,அதிகாலை,Noun
2264,1,Numerals
2265,மணி,Noun
2266,நடைதிற,Verb
2267,1.30,Numerals
2268,விஷ்வரூபம்,Noun
2269,தரிசனம்,Noun
2270,2,Numerals
2271,உதய,Noun
2272,மார்த்தாண்டம்,Noun
2273,அபிஷேகம்,Noun
2274,மற்ற,Adjectives
2275,பூஜை,Noun
2276,காலம்,Noun
2277,4,Numerals
2278,வெள்ளி,Noun
2279,பல்லக்கு,Noun
2280,கொடி,Noun
2281,பட்டம்,Noun
2282,9,Numerals
2283,வீதி,Noun
2284,உலா,Noun
2285,5.20,Numerals
2286,வேதம்,Noun
2287,ஓது,Verb
2288,பஞ்வாத்தியம்,Noun
2289,முழங்கு,Verb
2290,பக்தர்,Noun
2291,ஆரோகரா,Noun
2292,கோஷம்,Noun
2293,செப்பு,Noun
2294,மரம்,Noun
2295,கொடியேற்று,Verb
2296,போட்டி,Noun
2297,வீரர்,Noun
2298,சூதாட்டம்,Noun
2299,ஈடுபடு,Verb
2300,வாழ்நாள்,Noun
2301,தடை,Noun
2302,விதி,Verb
2303,அணி,Noun
2304,முன்னாள்,Adjectives
2305,பேட்ஸ்மேன்,Noun
2306,கிரிக்கெட்,Noun
2307,மோசடி,Noun
2308,இடம்தரு,Verb
2309,கூடு,Verb
2310,கூறு,Adjectives
2311,விளையாடு,Verb
2312,தடைவிதி,Verb
2313,என்,Verb
2314,அளி,Verb
2315,முன்வா,Adjectives
2316,வெள்ளம்,Noun
2317,நிவாரணம்,Noun
2318,தயக்கம்,Noun
2319,காட்டு,Verb
2320,பின்னர்,Adverb
2321,ஏற்றுக்கொள்,Verb
2322,தற்போது,Adverb
2323,உதவி,Noun
2324,நேரடி,Adverb
2325,சபை,Noun
2326,தீர்மானி,Verb
2327,பல்வேறு,Adjectives
2328,பணியாற்று,Verb
2329,எனவே,Adverb
2330,தகவல்,Noun
2331,அனுப்பு,Verb
2332,வெளியுறவு,Noun
2333,செய்தித்தொடர்பாளர்,Noun
2334,கொள்கை,Noun
2335,முத்தரப்பு,Noun
2336,இறுதிப்போட்டி,Noun
2337,நேற்று,Adverb
2338,முடிவடை,Verb
2339,காலை,Noun
2340,சொந்த,Adjectives
2341,ஊர்,Noun
2342,புறப்பட்ட,Verb
2343,செல்,Verb
2344,நாளை,Adverb
2345,மாலை,Noun
2346,ஏற்பாடு,Noun
2347,பாராட்டு,Noun
2348,விழா,Noun
2349,கல,Verb
2350,எதிர்பார்,Verb
2351,800,Numerals
2352,டெஸ்ட்,Noun
2353,விக்கெட்டு,Noun
2354,வீழ்த்து,Adjectives
2355,பெருமை,Noun
2356,முரளிதரன்,Noun
2357,கௌரவி,Verb
2358,தேசியம்,Noun
2359,படை,Noun
2360,சொந்தம்,Noun
2361,ஒன்று,Numerals
2362,கொலம்பியா,Noun
2363,எல்லை,Noun
2364,விபத்துக்குள்ளாகு,Verb
2365,உயிரிழ,Verb
2366,அதிபர்,Noun
2367,ரஷ்யா,Noun
2368,தயாரிப்பு,Noun
2369,ஓடுதளம்,Noun
2370,சில,Adjectives
2371,நிமிடம்,Noun
2372,விசாரணை,Noun
2373,தொலைக்காட்சி,Noun
2374,தென்மேற்கு,Noun
2375,போதைமருந்து,Noun
2376,கடத்தல்,Noun
2377,குழுவினர்,Noun
2378,தேடு,Adjectives
2379,பணி,Noun
2380,மாசுபடுத்து,Adjectives
2381,65,Numerals
2382,தொழிற்சாலை,Noun
2383,மூடு,Verb
2384,உத்தரப்பிரதேச,Noun
2385,மாசுக்கட்டுப்பாடு,Noun
2386,வாரியம்,Noun
2387,ஆகஸ்ட்,Noun
2388,28,Numerals
2389,தேதி,Noun
2390,ஆறு,Noun
2391,நதிநீர்,Noun
2392,படுகை,Noun
2393,நிர்வாகம்,Noun
2394,பயிலரங்கு,Noun
2395,பங்கேல்,Verb
2396,சுத்தப்படுத்து,Verb
2397,மாசு,Noun
2398,கட்டுப்பாடு,Noun
2399,செயலின்மை,Noun
2400,விமர்சி,Verb
2401,நதி,Noun
2402,செயல்படு,Verb
2403,உடன்பாடு,Noun
2404,மண்டலம்,Noun
2405,அடை,Verb
2406,100,Numerals
2407,மீனவர்,Noun
2408,விடுதலை,Noun
2409,தாண்டு,Verb
2410,புகார்,Noun
2411,விடுவி,Verb
2412,342,Numerals
2413,அடுத்த,Adjectives
2414,சிறைச்சாலை,Noun
2415,துணை,Noun
2416,கண்காணிப்பாளர்,Noun
2417,அரபிக்,Noun
2418,கடல்,Noun
2419,மீன்,Noun
2420,குற்றச்சாட்டு,Noun
2421,அவ்வப்போது,Adverb
2422,இருதரப்பு,Noun
2423,கைது,Noun
2424,முஸ்லீம்,Noun
2425,ஐந்து,Numerals
2426,அமெரிக்கர்,Noun
2427,நம்பு,Verb
2428,சமீபம்,Adverb
2429,வெளி,Adjectives
2430,கவலைப்படு,Verb
2431,போ,Verb
2432,18,Numerals
2433,சதவீத,Adjectives
2434,ஆராய்ச்சி,Noun
2435,மையம்,Noun
2436,மாதம்,Noun
2437,தொடக்கம்,Noun
2438,மார்ச்,Noun
2439,2009-ல்,Numerals
2440,சதவீதத்தினர்,Noun
2441,இப்போது,Adverb
2442,அதிகரி,Verb
2443,கிறிஸ்துவர்,Noun
2444,48,Numerals
2445,34,Numerals
2446,சதவீதம்,Noun
2447,குறை,Verb
2448,மதம்,Noun
2449,குழப்பம்,Noun
2450,கண்டனம்,Noun
2451,வதந்தி,Noun
2452,பெரிதும்,Adverb
2453,சிக்கு,Verb
2454,போலீஸார்,Noun
2455,எனப்படு,Adjectives
2456,ஆட்டம்,Noun
2457,நிகழ்வு,Noun
2458,முன்கூட்டி,Adverb
2459,குற்றம்,Noun
2460,சாட்டு,Verb
2461,இரண்டு,Numerals
2462,விசாரி,Verb
2463,இதனால்,Adverb
2464,செய்தியாளர்,Noun
2465,மேலாளர்,Noun
2466,தூரகரம்,Noun
2467,எனினும்,Adverb
2468,இதுவரை,Adverb
2469,குற்றம்சாட்டு,Verb
2470,எதிர்கொள்,Verb
2471,வழக்கறிஞர்,Noun
2472,ஒருவர்,Noun
2473,நியமி,Verb
2474,இப்போதைக்கு,Adverb
2475,செவ்வாய்க்கிழமை,Noun
2476,அங்கிருந்து,Adverb
2477,கார்,Noun
2478,எஸ்டேட்,Noun
2479,வழி,Noun
2480,மாவட்டம்,Noun
2481,குஞ்சப்பனை,Noun
2482,செயலர்,Noun
2483,தொழிற்சங்கம்,Noun
2484,உள்ளிட்டோர்,Noun
2485,வரவேல்,Verb
2486,அதையடுத்து,Adverb
2487,ஊராட்சி,Noun
2488,ஊர்மக்கள்,Noun
2489,சிறப்பு,Adjectives
2490,வரவேற்பு,Noun
2491,நுழைவாயில்,Noun
2492,பிரமுகர்,Noun
2493,வழியெங்கு,Adverb
2494,பொதுமக்கள்,Noun
2495,பூங்கொத்து,Noun
2496,40,Numerals
2497,தங்கு,Verb
2498,மேற்கொள்,Verb
2499,வட்டாரம்,Noun
2500,தமிழகம்,Noun
2501,31,Numerals
2502,பொறுப்பேல்,Verb
2503,ஓய்வுபெறு,Verb
2504,பொறுப்பு,Noun
2505,ஏற்கெனவே,Adverb
2506,வகி,Verb
2507,விழிப்பு,Noun
2508,கண்காணிப்புத்துறை,Noun
2509,ஆணையாளர்,Noun
2510,பதவி,Noun
2511,வாழ்த்து,Noun
2512,ஒப்படை,Verb
2513,1977,Numerals
2514,சேர்,Noun
2515,பூர்வீகம்,Noun
2516,1954,Numerals
2517,கன்னடம்,Noun
2518,எழுது,Verb
2519,விலங்கியல்,Noun
2520,படிப்பு,Noun
2521,பட்டயம்,Noun
2522,திருச்சி,Noun
2523,ஆட்சியர்,Noun
2524,பயிற்சி,Noun
2525,அடுத்தடுத்த,Adjectives
2526,சார்பு,Noun
2527,இணை,Noun
2528,1987,Numerals
2529,1992,Numerals
2530,வேலைவாய்ப்பு,Noun
2531,இயக்குநர்,Noun
2532,அதற்கடுத்த,Adjectives
2533,நிதித்துறை,Noun
2534,1996,Numerals
2535,நகராட்சி,Noun
2536,குடிநீர்,Noun
2537,2001,Numerals
2538,புள்ளியியல்,Noun
2539,ஆணையர்,Noun
2540,2006,Numerals
2541,பிற்பகுதி,Noun
2542,உள்துறை,Noun
2543,கண்காணிப்பு,Noun
2544,இதன்பின்,Adverb
2545,ஆட்சி,Noun
2546,பெண்,Noun
2547,செயலாளார்,Noun
2548,2008,Numerals
2549,செப்டம்பர்,Noun
2550,சரி,Adverb
2551,ஓய்வு,Noun
2552,செம்மொழி,Noun
2553,மாநாடு,Noun
2554,நீட்டிப்பு,Noun
2555,பெரு,Adjectives
2556,முயற்சி,Noun
2557,முடி,Verb
2558,சாதனை,Noun
2559,இது,Adjectives
2560,உத்தரவு,Noun
2561,ஆளுநர்,Noun
2562,விரைவு,Noun
2563,செயலகம்,Noun
2564,நிறைவு,Noun
2565,வாய்ப்பு,Noun
2566,காவல்,Noun
2567,உயர்,Adjectives
2568,அணை,Noun
2569,உடை,Verb
2570,விபரீதம்,Adjectives
2571,விளைவு,Noun
2572,உறவு,Noun
2573,பெரும்,Adjectives
2574,விரிசல்,Noun
2575,ஏற்படுத்து,Verb
2576,380,Numerals
2577,கோடி,Numerals
2578,ஒதுக்கீடு,Noun
2579,பிரச்னை,Noun
2580,சாசனம்,Noun
2581,பெஞ்ச்,Noun
2582,கேரள,Noun
2583,வழக்கம்,Noun
2584,உச்சநீதிமன்றம்,Noun
2585,துச்சம்,Noun
2586,நினை,Verb
2587,வழக்கு,Noun
2588,காரணம்,Noun
2589,பாதகம்,Noun
2590,உச்சம்,Noun
2591,நீதிமன்றம்,Noun
2592,தீர்ப்பு,Noun
2593,சாதகம்,Noun
2594,பேர்,Noun
2595,ஆஜர்,Adjectives
2596,எழுத்துப்பூர்வம்,Noun
2597,ஒப்புதல்,Noun
2598,நோக்கம்,Noun
2599,தென்,Noun
2600,17,Numerals
2601,ஏக்கர்,Noun
2602,பாசனம்,Noun
2603,பாதி,Verb
2604,உணர்,Verb
2605,மோசம்,Adverb
2606,பின்னடைவு,Noun
2607,அணுகுமுறை,Noun
2608,வாழ்வாதாரம்,Noun
2609,சூழல்,Noun
2610,நிலவு,Verb
2611,செப்.15,Numerals
2612,திராவிடம்,Noun
2613,இயக்கம்,Noun
2614,வரலாறு,Noun
2615,தாக்கம்,Noun
2616,கட்சி,Noun
2617,சாராத,Adjectives
2618,இளைஞர்,Noun
2619,அதிகளவு,Noun
2620,அழைப்பு,Noun
2621,போர்,Noun
2622,முகாம்,Noun
2623,உறுதி,Noun
2624,அங்கு,Adverb
2625,அவர்,Noun
2626,பார்வையிடு,Verb
2627,அங்குள்ள,Adjectives
2628,நிறை,Noun
2629,முடிந்தளவு,Adverb
2630,உதவு,Verb
2631,தயார்,Adverb
2632,இயன்றவரை,Adverb
2633,கண்டிப்பாக,Adverb
2634,உள்ளூர்,Noun
2635,ராணுவம்,Noun
2636,தலைமையகம்,Noun
2637,அழை,Verb
2638,வடக்கு,Noun
2639,புலி,Noun
2640,3,Numerals
2641,பதுங்கு,Noun
2642,குழி,Noun
2643,பார்,Verb
2644,வெடி,Adjectives
2645,வெடிகுண்டு,Noun
2646,காண்பி,Verb
2647,மறு,Adjectives
2648,குடியமர்வு,Noun
2649,விவசாயம்,Noun
2650,உபகரணம்,Noun
2651,உபயோகம்,Noun
2652,பொருள்,Noun
2653,பிரதிநிதி,Noun
2654,ஆலோசனை,Noun
2655,மறுபடியும்,Adverb
2656,குடியமர்த்து,Verb
2657,வசதி,Noun
2658,கொடு,Verb
2659,ஆலோசி,Verb
2660,சிரமப்படு,Adjectives
2661,தேவையானவற்றை,Noun
2662,தரு,Adjectives
2663,நம்பிக்கை,Noun
2664,தூதர்,Noun
2665,விடுதலைப்புலி,Noun
2666,புதை,Verb
2667,அப்புறப்படுத்து,Adjectives
2668,7,Numerals
2669,முன்,Adverb
2670,தீவு,Noun
2671,கிழக்கு,Noun
2672,வியாழக்கிழமை,Noun
2673,|,Numerals
2674,500,Numerals
2675,நிதியுதவி,Noun
2676,அறிவு,Verb
2677,இதுதவிர,Adverb
2678,சேகரி,Adjectives
2679,2.5,Numerals
2680,குடும்பம்,Noun
2681,பாக்கெட்,Noun
2682,கூடாரம்,Noun
2683,2500,Numerals
2684,மெட்ரிக்,Noun
2685,டன்,Numerals
2686,55,Numerals
2687,பேருந்து,Noun
2688,சிமென்ட்,Noun
2689,மூட்டை,Noun
2690,சேதமடை,Adjectives
2691,பழுதுபார்,Verb
2692,வட,Noun
2693,ரயில்,Noun
2694,பாதை,Noun
2695,துறைமுகம்,Noun
2696,கலாசாரம்,Noun
2697,விளையாட்டு,Noun
2698,அரங்கு,Noun
2699,ஆகியவற்றைக்,Noun
2700,இறக்கு,Verb
2701,கடுமை,Adjectives
2702,செய்தி,Noun
2703,அந்நாடு,Noun
2704,நகர்,Noun
2705,தயாராகு,Verb
2706,புறப்படு,Verb
2707,கீழ்,Adverb
2708,ஊழியர்,Noun
2709,சர்ச்சைக்குரிய,Adjectives
2710,முழு,Adjectives
2711,விவரம்,Noun
2712,கிட்டத்தட்ட,Adverb
2713,இரண்டரை,Numerals
2714,நேரம்,Noun
2715,தூதரகம்,Noun
2716,அச்சுறுத்தல்,Noun
2717,இந்த,Noun
2718,சம்பவம்,Noun
2719,அடுத்து,Verb
2720,பயணம்,Noun
2721,ரத்து,Noun
2722,உத்தரவிடு,Verb
2723,ஜார்க்கண்ட்,Noun
2724,நிகழ்,Adjectives
2725,கடும்,Adjectives
2726,துப்பாக்கிச்சண்டை,Noun
2727,போலீசார்,Noun
2728,காயமடை,Verb
2729,வனப்பகுதி,Noun
2730,தலை,Noun
2731,குண்டு,Noun
2732,பாய்,Adjectives
2733,ஐஜி,Noun
2734,அதிரடிப்படை,Noun
2735,இருவர்,Noun
2736,இதையடுத்து,Adverb
2737,தும்கா,Noun
2738,விரை,Adverb
2739,சதுர்த்தி,Noun
2740,பண்டிகை,Noun
2741,கொண்டாடு,Adjectives
2742,முன்னிட்டு,Verb
2743,நல்லெண்ணம்,Adjectives
2744,85,Numerals
2745,கைதி,Noun
2746,பெரும்பாலானவர்,Noun
2747,ஆவர்,Verb
2748,58,Numerals
2749,பிறப்பி,Verb
2750,அமைச்சகம்,Noun
2751,மொத்தம்,Adjectives
2752,விடுதலைசெய்,Verb
2753,128,Numerals
2754,213,Numerals
2755,தீவிரவாதம்,Noun
2756,வெள்ளை,Noun
2757,மாளிகை,Noun
2758,இவ்வாறு,Adverb
2759,உயிர்,Noun
2760,பிடிபடு,Verb
2761,கொல்,Verb
2762,அதற்கான,Adjectives
2763,இரவு,Noun
2764,பகல்,Noun
2765,பாடுபடு,Verb
2766,இன்னும்,Adverb
2767,மனிதவளம்,Noun
2768,மேம்பாட்டுத்துறை,Noun
2769,உயர்கல்வி,Noun
2770,கவனம்,Noun
2771,செலுத்து,Verb
2772,பள்ளி,Noun
2773,மூத்த,Adjectives
2774,ஐஐடி,Noun
2775,மருத்துவம்,Noun
2776,வெளிநாடு,Noun
2777,பேராசிரியர்,Noun
2778,மாணவர்,Noun
2779,நுழைவு,Noun
2780,தேர்வு,Noun
2781,ஆளுங்கட்சி,Noun
2782,பிரதேசம்,Noun
2783,அறிவுறுத்து,Verb
2784,பரபரப்பு,Noun
2785,எதிர்ப்பு,Noun
2786,உள்ளாட்சி,Noun
2787,தேர்தல்,Noun
2788,பெரும்பான்மை,Adjectives
2789,வெற்றி,Noun
2790,6,Numerals
2791,555,Numerals
2792,444-ல்,Numerals
2793,போலி,Noun
2794,பிரசாரம்,Noun
2795,பொதுக்கூட்டம்,Noun
2796,புலனாய்வு,Noun
2797,நிராகரி,Verb
2798,மேற்பட்ட,Adjectives
2799,வாக்காளர்,Noun
2800,45,Numerals
2801,வாக்கு,Noun
2802,பதிவு,Noun
2803,செய்திரு,Verb
2804,மீட்டர்,Numerals
2805,கைத்துப்பாக்கி,Noun
2806,சுடு,Noun
2807,இரட்டையர்,Noun
2808,பிரிவு,Noun
2809,தங்கம்,Noun
2810,பதக்கம்,Noun
2811,வெல்,Verb
2812,இந்நிலை,Noun
2813,ஜோடி,Noun
2814,25,Numerals
2815,இதுபோல்,Adverb
2816,துப்பாக்கிச்சுடுதல்,Noun
2817,சாகு,Adjectives
2818,வரை,Adverb
2819,அதை,Verb
2820,ஆக,Adverb
2821,மன்னிப்பு,Noun
2822,தளபதி,Noun
2823,சரணடை,Verb
2824,மேற்கண்ட,Adjectives
2825,இணையதளம்,Noun
2826,அச்சப்படு,Verb
2827,அற்றவன்,Noun
2828,தைரியம்,Noun
2829,ஆயுள்,Noun
2830,ஆதரவாளர்,Noun
2831,புறக்கணி,Verb
2832,சிறுத்தை,Noun
2833,விருந்தினர்,Noun
2834,அதிர்ச்சி,Noun
2835,வேதனை,Noun
2836,ஈவிரக்கம்,Noun
2837,கணக்கு,Noun
2838,வித்த,Adjectives
2839,சிறப்பி,Verb
2840,ஆனது,Verb
2841,சுமார்,Adverb
2842,மேலான,Adjectives
2843,ஒட்டுமொத்தம்,Adjectives
2844,கேவலப்படுத்து,Verb
2845,அத்துடன்,Adverb
2846,பிறர்,Noun
2847,துன்பம்,Noun
2848,இன்பம்,Noun
2849,காணு,Adjectives
2850,கொடூரம்,Adjectives
2851,வன்மம்,Noun
2852,வக்கிரபுத்தி,Noun
2853,இதன்மூலம்,Adverb
2854,வெளிப்படுத்து,Verb
2855,சிங்கள,Noun
2856,மரபு,Noun
2857,மீறு,Verb
2858,மனிதநேயம்,Noun
2859,இழை,Verb
2860,ஜனநாயகம்,Noun
2861,கண்டி,Verb
2862,நேர்மாறு,Adverb
2863,குற்றவாளி,Noun
2864,சிவப்பு,Noun
2865,கம்பளம்,Noun
2866,விரி,Verb
2867,அத்தகைய,Adjectives
2868,பங்களிப்பு,Noun
2869,உறுதிப்படுத்து,Verb
2870,போக்கு,Noun
2871,வன்மை,Adverb
2872,உடனடியாக,Adverb
2873,கைவிடு,Verb
2874,வற்புறுத்து,Verb
2875,உறுப்பினர்,Noun
2876,தமிழினம்,Noun
2877,விரோதம்,Noun
2878,அவ்விழா,Noun
2879,ஒற்றுமை,Noun
2880,கர்நாடகம்,Noun
2881,குடியரசு,Noun
2882,அமல்படுத்து,Verb
2883,கழகம்,Noun
2884,நிரூபி,Verb
2885,சுயேட்சை,Noun
2886,தகுதி,Noun
2887,நீக்கம்,Noun
2888,தாவல்,Noun
2889,கொறடா,Noun
2890,வாக்களி,Adjectives
2891,குரல்,Noun
2892,வாக்கெடுப்பு,Noun
2893,செயல்,Noun
2894,சட்டப்பேரவை,Noun
2895,அமளி,Noun
2896,அடிதடி,Noun
2897,கூச்சல்,Noun
2898,மிகப்பெரிய,Adjectives
2899,களங்கம்,Noun
2900,உண்டாகு,Adjectives
2901,அவமானம்,Noun
2902,நீக்கு,Verb
2903,நிறுவனம்,Noun
2904,நச்சுத்தன்மை,Noun
2905,கழிவு,Noun
2906,நீர்,Noun
2907,கல்,Verb
2908,மறுநாள்,Adverb
2909,திருவொற்றியூர்,Noun
2910,ஆர்ப்பாட்டம்,Noun
2911,அக்கட்சி,Noun
2912,வாழு,Adjectives
2913,ஆபத்து,Noun
2914,ஒட்டு,Verb
2915,60,Numerals
2916,தொழில்,Noun
2917,ஆலை,Noun
2918,வெளியேற்று,Adjectives
2919,நச்சு,Noun
2920,தன்மை,Noun
2921,ரசாயனம்,Noun
2922,குழாய்,Noun
2923,வேலை,Noun
2924,மும்முரம்,Adverb
2925,நட,Verb
2926,பெரிய,Adjectives
2927,சாமியிடம்,Noun
2928,அப்பகுதி,Noun
2929,மேற்படி,Adverb
2930,உற்பத்தி,Noun
2931,மடி,Adjectives
2932,சூழ்நிலை,Noun
2933,முற்றிலும்,Adverb
2934,தடைபடு,Verb
2935,சாமி,Noun
2936,தடு,Verb
2937,நிறுத்து,Verb
2938,வலியுறுத்து,Verb
2939,14.10.2010,Numerals
2940,வியாழன்,Noun
2941,கிழமை,Noun
2942,இலக்கியம்,Noun
2943,கண்டன,Noun
2944,தீவிரவாதி,Noun
2945,மாகாணம்,Noun
2946,கேல்,Noun
2947,வாகனம்,Noun
2948,வீசு,Adjectives
2949,ராக்கெட்,Noun
