id,corpus,site,region,period,material,type,signs_str,sign_count,pdr_reading,grammar_pattern,n_translated,n_unknown,coverage,sanskrit,translation_yaj
H-0097,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0098,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0099,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0100,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0101,holdat,,,,,,400,1,kur,SOLO,1,0,1.0,,
H-0102,holdat,,,,,,692 692,2,nal/nall-nal/nall,II,2,0,1.0,,
H-0103,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0104,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0105,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0106,holdat,,,,,,692 692,2,nal/nall-nal/nall,II,2,0,1.0,,
H-0107,holdat,,,,,,692 692,2,nal/nall-nal/nall,II,2,0,1.0,,
H-0108,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0109,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0110,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0111,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0112,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0113,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0114,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0115,holdat,,,,,,692 692,2,nal/nall-nal/nall,II,2,0,1.0,,
H-0116,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0117,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0118,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0119,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0120,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0121,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0122,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0123,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0124,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0125,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0126,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0127,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0128,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0129,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0130,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0131,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0132,holdat,,,,,,692 692 861,3,nal/nall-nal/nall-nallavar,IIM,3,0,1.0,,
H-0133,holdat,,,,,,692,1,nal/nall,SOLO,1,0,1.0,,
H-0134,holdat,,,,,,692,1,nal/nall,SOLO,1,0,1.0,,
H-0135,holdat,,,,,,692,1,nal/nall,SOLO,1,0,1.0,,
H-0136,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0137,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0138,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0139,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0140,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0141,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0142,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0143,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0144,holdat,,,,,,692,1,nal/nall,SOLO,1,0,1.0,,
H-0145,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0146,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0147,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0148,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0149,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0150,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0151,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0152,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0153,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0154,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0155,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0156,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0157,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0158,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0159,holdat,,,,,,692,1,nal/nall,SOLO,1,0,1.0,,
H-0160,holdat,,,,,,861,1,nallavar,SOLO,1,0,1.0,,
H-0161,holdat,,,,,,045 045 045,3,yānai-yānai-yānai,III,3,0,1.0,,
H-0162,holdat,,,,,,045,1,yānai,SOLO,1,0,1.0,,
H-0163,holdat,,,,,,045,1,yānai,SOLO,1,0,1.0,,
H-0164,holdat,,,,,,045,1,yānai,SOLO,1,0,1.0,,
H-0165,holdat,,,,,,045 045 045 045 045,5,yānai-yānai-yānai-yānai-yānai,IIIII,5,0,1.0,,
H-0166,holdat,,,,,,045 045 045 045 045,5,yānai-yānai-yānai-yānai-yānai,IIIII,5,0,1.0,,
H-0167,holdat,,,,,,045 045 045 045 045,5,yānai-yānai-yānai-yānai-yānai,IIIII,5,0,1.0,,
H-0168,holdat,,,,,,045 045 045 045 045,5,yānai-yānai-yānai-yānai-yānai,IIIII,5,0,1.0,,
H-0169,holdat,,,,,,045,1,yānai,SOLO,1,0,1.0,,
H-0170,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0171,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0172,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0173,holdat,,,,,,045 045 045 045 045,5,yānai-yānai-yānai-yānai-yānai,IIIII,5,0,1.0,,
H-0174,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0175,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0176,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0177,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0178,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0179,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0180,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0181,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0182,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0183,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0184,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0185,holdat,,,,,,045 045 045 045,4,yānai-yānai-yānai-yānai,IIII,4,0,1.0,,
H-0186,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0187,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0188,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0189,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0190,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0191,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0192,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0193,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0194,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0195,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0196,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0197,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0198,holdat,,,,,,147,1,kur,SOLO,1,0,1.0,,
H-0199,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0200,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0201,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0202,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0203,holdat,,,,,,047 047,2,min/mīn-min/mīn,II,2,0,1.0,,
H-0204,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0205,holdat,,,,,,047 047,2,min/mīn-min/mīn,II,2,0,1.0,,
H-0206,holdat,,,,,,047 047 427,3,min/mīn-min/mīn-en,IIM,3,0,1.0,,
H-0207,holdat,,,,,,047 106,2,min/mīn-kur,IM,2,0,1.0,,
H-0208,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0209,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0210,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0211,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0212,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0213,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0214,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0215,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0216,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0217,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0218,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0219,holdat,,,,,,047,1,min/mīn,SOLO,1,0,1.0,,
H-0220,holdat,,,,,,790 455,2,erumai-zi,MM,2,0,1.0,,
H-0221,holdat,,,,,,256 455,2,kur-zi,MM,2,0,1.0,,
H-0222,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0223,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0224,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0225,holdat,,,,,,455,1,zi,SOLO,1,0,1.0,,
H-0226,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0227,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0228,holdat,,,,,,455 256,2,zi-kur,MM,2,0,1.0,,
H-0229,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0230,holdat,,,,,,256 256,2,kur-kur,MM,2,0,1.0,,
H-0231,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0232,holdat,,,,,,256 790,2,kur-erumai,MM,2,0,1.0,,
H-0233,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0234,holdat,,,,,,790,1,erumai,SOLO,1,0,1.0,,
H-0235,holdat,,,,,,455,1,zi,SOLO,1,0,1.0,,
H-0236,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0237,holdat,,,,,,256,1,kur,SOLO,1,0,1.0,,
H-0238,holdat,,,,,,455,1,zi,SOLO,1,0,1.0,,
H-0239,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0240,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0241,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0242,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0243,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0244,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0245,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0246,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0247,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0248,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0249,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0250,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0251,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0252,holdat,,,,,,035,1,po,SOLO,1,0,1.0,,
H-0253,holdat,,,,,,841 841,2,[841]-[841],??,0,2,0.0,,
H-0254,holdat,,,,,,841 035,2,[841]-po,?M,1,1,0.5,,
H-0255,holdat,,,,,,781,1,[781],SOLO,0,1,0.0,,
H-0256,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0257,holdat,,,,,,035 841 841,3,po-[841]-[841],M??,1,2,0.333,,
H-0258,holdat,,,,,,841,1,[841],SOLO,0,1,0.0,,
H-0259,holdat,,,,,,413 427,2,kur-en,MM,2,0,1.0,,
H-0260,holdat,,,,,,874 874 874 817 427 047,6,ki-ki-ki-nallavar-en-min/mīn,MMMMMI,6,0,1.0,,
H-0261,holdat,,,,,,156 817 074,3,kur-nallavar-ker,MMM,3,0,1.0,,
H-0262,holdat,,,,,,858 034 034 106 129 047 156,7,nallavar-tōḷ-tōḷ-kur-kur-min/mīn-kur,MIIMMIM,7,0,1.0,,
H-0263,holdat,,,,,,156 157,2,kur-kur,MM,2,0,1.0,,
H-0264,holdat,,,,,,156 817 157,3,kur-nallavar-kur,MMM,3,0,1.0,,
H-0265,holdat,,,,,,400 400 817 074,4,kur-kur-nallavar-ker,MMMM,4,0,1.0,,
H-0266,holdat,,,,,,047 400 400 003 427 400 400 003 074,9,min/mīn-kur-kur-kalam-en-kur-kur-kalam-ker,IMMMMMMMM,9,0,1.0,,
H-0267,holdat,,,,,,874 874 874 817 047 047,6,ki-ki-ki-nallavar-min/mīn-min/mīn,MMMMII,6,0,1.0,,
H-0268,holdat,,,,,,047 400 400 400 400 003 003 003 003 858 400,11,min/mīn-kur-kur-kur-kur-kalam-kalam-kalam-kalam-nallavar-kur,IMMMMMMMMMM,11,0,1.0,,
H-0269,holdat,,,,,,047 400 400 400 400 003 003 003 003 047,10,min/mīn-kur-kur-kur-kur-kalam-kalam-kalam-kalam-min/mīn,IMMMMMMMMI,10,0,1.0,,
H-0270,holdat,,,,,,047 400 400 400 400 003,6,min/mīn-kur-kur-kur-kur-kalam,IMMMMM,6,0,1.0,,
H-0271,holdat,,,,,,481 400 400 400 400 003 003 003 003 400,10,[481]-kur-kur-kur-kur-kalam-kalam-kalam-kalam-kur,?MMMMMMMMM,9,1,0.9,,
H-0272,holdat,,,,,,047 400 400 400 400 003,6,min/mīn-kur-kur-kur-kur-kalam,IMMMMM,6,0,1.0,,
H-0273,holdat,,,,,,156 047 400 400,4,kur-min/mīn-kur-kur,MIMM,4,0,1.0,,
H-0274,holdat,,,,,,400 400 400,3,kur-kur-kur,MMM,3,0,1.0,,
H-0275,holdat,,,,,,400 400 400,3,kur-kur-kur,MMM,3,0,1.0,,
H-0276,holdat,,,,,,874 874 874,3,ki-ki-ki,MMM,3,0,1.0,,
H-0277,holdat,,,,,,858 400,2,nallavar-kur,MM,2,0,1.0,,
H-0278,holdat,,,,,,047 400 400 400,4,min/mīn-kur-kur-kur,IMMM,4,0,1.0,,
H-0279,holdat,,,,,,047 400 400,3,min/mīn-kur-kur,IMM,3,0,1.0,,
H-0280,holdat,,,,,,047 400 400 400,4,min/mīn-kur-kur-kur,IMMM,4,0,1.0,,
H-0281,holdat,,,,,,156 047 400 400,4,kur-min/mīn-kur-kur,MIMM,4,0,1.0,,
H-0282,holdat,,,,,,874 874 874 817 047 400 400,7,ki-ki-ki-nallavar-min/mīn-kur-kur,MMMMIMM,7,0,1.0,,
H-0283,holdat,,,,,,156 400 400 400 400 003 003 003 003 047,10,kur-kur-kur-kur-kur-kalam-kalam-kalam-kalam-min/mīn,MMMMMMMMMI,10,0,1.0,,
H-0284,holdat,,,,,,047 400 400 400 400 003 003 003 003 400,10,min/mīn-kur-kur-kur-kur-kalam-kalam-kalam-kalam-kur,IMMMMMMMMM,10,0,1.0,,
H-0285,holdat,,,,,,400 400 400 400 400 003 003 003 003 858 400,11,kur-kur-kur-kur-kur-kalam-kalam-kalam-kalam-nallavar-kur,MMMMMMMMMMM,11,0,1.0,,
H-0286,holdat,,,,,,874 874 874,3,ki-ki-ki,MMM,3,0,1.0,,
H-0287,holdat,,,,,,047 400 400 400,4,min/mīn-kur-kur-kur,IMMM,4,0,1.0,,
H-0288,holdat,,,,,,035 413 413 817 035,5,po-kur-kur-nallavar-po,MMMMM,5,0,1.0,,
H-0289,holdat,,,,,,035 748 817 035,4,po-kol-nallavar-po,MIMM,4,0,1.0,,
H-0290,holdat,,,,,,817 047 047 708 817,5,nallavar-min/mīn-min/mīn-[708]-nallavar,MII?M,4,1,0.8,,
H-0291,holdat,,,,,,035 866,2,po-[866],M?,1,1,0.5,,
H-0292,holdat,,,,,,035 129 035,3,po-kur-po,MMM,3,0,1.0,,
H-0293,holdat,,,,,,035 413 413 427,4,po-kur-kur-en,MMMM,4,0,1.0,,
H-0294,holdat,,,,,,035 427 817,3,po-en-nallavar,MMM,3,0,1.0,,
H-0295,holdat,,,,,,047 708 035,3,min/mīn-[708]-po,I?M,2,1,0.667,,
H-0296,holdat,,,,,,481 708 708 035,4,[481]-[708]-[708]-po,???M,1,3,0.25,,
H-0297,holdat,,,,,,481 047 003 003 413 427,6,[481]-min/mīn-kalam-kalam-kur-en,?IMMMM,5,1,0.833,,
H-0298,holdat,,,,,,481 047 003 003 413 427,6,[481]-min/mīn-kalam-kalam-kur-en,?IMMMM,5,1,0.833,,
